Column,Correlation_with_MathScore,Abs_Correlation
reading_q15_total_timing,1.0000000000000002,1.0000000000000002
reading_q15_average_score,-0.9999999999999999,0.9999999999999999
reading_q14_total_timing,0.9709375474804035,0.9709375474804035
reading_q13_average_score,0.6550206324408643,0.6550206324408643
math_q16_average_score,0.5931517346486275,0.5931517346486275
math_q15_average_score,0.5307197692900553,0.5307197692900553
ST250,0.5068470999206647,0.5068470999206647
reading_q14_average_score,0.4933259669501353,0.4933259669501353
Year,-0.46270349511653,0.46270349511653
ST003D03T,-0.46031800998587413,0.46031800998587413
reading_q12_average_score,0.4591039564105523,0.4591039564105523
science_q12_average_score,0.4417251335478604,0.4417251335478604
math_q2_average_score,0.4266666494585605,0.4266666494585605
math_q12_average_score,0.4108388329658054,0.4108388329658054
math_q14_average_score,0.4107780425839258,0.4107780425839258
math_q3_average_score,0.4094724478580065,0.4094724478580065
reading_q13_total_timing,0.4049664442138194,0.4049664442138194
math_q13_average_score,0.4043091756655184,0.4043091756655184
math_q11_average_score,0.3942018681201032,0.3942018681201032
math_q7_average_score,0.3799477394735994,0.3799477394735994
ST290,0.37228360763300505,0.37228360763300505
math_q1_average_score,0.36335405757282047,0.36335405757282047
math_q9_average_score,0.35355589745186883,0.35355589745186883
ST253,0.3514773555445776,0.3514773555445776
math_q8_average_score,0.34767442144264055,0.34767442144264055
math_q10_average_score,0.34552201865815757,0.34552201865815757
science_q6_average_score,0.3402829516666659,0.3402829516666659
ST254,0.33663825655315477,0.33663825655315477
reading_q10_average_score,0.3352298580331647,0.3352298580331647
science_q11_average_score,0.33160219428389703,0.33160219428389703
math_q6_average_score,0.3303353941040201,0.3303353941040201
math_q5_average_score,0.3262665763124864,0.3262665763124864
science_q7_average_score,0.32428888620606905,0.32428888620606905
reading_q9_average_score,0.30480298277093787,0.30480298277093787
science_q5_average_score,0.30463927816234215,0.30463927816234215
science_q8_average_score,0.3024601502000037,0.3024601502000037
science_q10_average_score,0.2992793935743308,0.2992793935743308
reading_q3_average_score,0.2924052518806322,0.2924052518806322
math_q4_average_score,0.29058025943092197,0.29058025943092197
reading_q1_average_score,0.28431423644651377,0.28431423644651377
ST349,0.2822408478907076,0.2822408478907076
ST256,0.27870343853393004,0.27870343853393004
ST095,0.2781346847245973,0.2781346847245973
IC183,0.2765873704034978,0.2765873704034978
science_q9_average_score,0.27616874522784374,0.27616874522784374
reading_q11_average_score,0.27528159482936215,0.27528159482936215
ST289,0.2746831865951551,0.2746831865951551
reading_q6_average_score,0.27465664222895525,0.27465664222895525
science_q4_average_score,0.2614336819734441,0.2614336819734441
IC170,0.2602742820632831,0.2602742820632831
reading_q4_average_score,0.25593535206310314,0.25593535206310314
ST011,0.2493215533026332,0.2493215533026332
ST268,0.24865072231766774,0.24865072231766774
IC172,0.2477040474610553,0.2477040474610553
reading_q7_average_score,0.2469403447414686,0.2469403447414686
IC176,0.24287266670726645,0.24287266670726645
science_q2_average_score,0.24208941087977015,0.24208941087977015
