Feature,Corr_Score,Abs_Correlation,RF_Score,Importance,MI_Score_Norm,MI_Score,Composite_Score
math_q1_average_score,0.8567470673626704,0.3752848530374242,0.9009244461022927,0.18962641796004454,1.0,0.7636183238463863,0.9192238378216544
math_q3_average_score,0.9600627102569189,0.4205406786329405,1.0,0.21047982300894738,0.7313136592385214,0.5584445106736871,0.8971254564984802
math_q2_average_score,1.0,0.43803459309486265,0.6385155300356501,0.13439463575036786,0.7514493425007702,0.5738204873759072,0.79665495751214
math_q9_average_score,0.8141281326294428,0.3566162853034184,0.44612852948863285,0.0939010539260094,0.8006835193496468,0.6114166069772029,0.6869800604892409
math_q7_average_score,0.8770062675351331,0.3841590835413963,0.1353561276380795,0.028489733788439466,0.7942800466300385,0.6065267978722595,0.6022141472677504
math_q8_average_score,0.8013874523423111,0.3510354265980929,0.15286855301163207,0.03217574598152221,0.7606735565921895,0.580864266279197,0.5716431873153776
math_q5_average_score,0.7608694460539002,0.3332871382005337,0.06575628588453333,0.013840371414702322,0.8611865183071543,0.6576178056288144,0.562604083415196
math_q12_average_score,0.9435480931777056,0.4133067050605298,0.3678887315872722,0.07743315511147521,0.2930776342395979,0.22379945181490601,0.5348381530015253
math_q11_average_score,0.9053498421348337,0.39657454970803,0.15565964001304572,0.032763213479582325,0.47825927625580394,0.3652075468984428,0.5130895861345611
math_q4_average_score,0.6843244546113725,0.29975778402055636,0.0873358096919308,0.018382425766300708,0.6515660826084608,0.4975477998766289,0.47440878230392136
math_q10_average_score,0.7947749868800263,0.34813893797996714,0.05788983811734614,0.01218464288095563,0.5452733332181888,0.4163807087502054,0.4659793860718538
ST290,0.70865042185986,0.31041339918588656,0.00026104169804477134,5.494401040241856e-05,0.549365190813384,0.4195053261884665,0.4194255514570962
IC183,0.5805331916637809,0.25429362038850617,8.100683378899141e-05,1.7050304038422132e-05,0.6113293011640393,0.4668222562730664,0.3973144998872031
math_q6_average_score,0.7649740111110394,0.33508507968516904,0.08564103384122629,0.01802570964520458,0.34034538382768215,0.2598939715273496,0.39698680959331595
IC172,0.5286039012407481,0.23154679478834803,5.555127902511234e-05,1.1692423377126296e-05,0.6280394396438814,0.4795824242102844,0.38556629738788484
Unnamed: 0,0.00921935821905626,0.004038397826080086,0.4750531785929584,0.09998910895008375,0.6722703959016239,0.5133579928899445,0.3855143109045462
ST255,0.4179345711615629,0.18306979981903113,0.0005247451424995118,0.00011044826471810212,0.7294787170188899,0.557043315171577,0.3826460111076508
IC176,0.5163338372513573,0.22617208230150732,6.374793519731954e-05,1.3417654117517664e-05,0.6295295109675704,0.4807202699768913,0.38197569871804166
ST256,0.5869463181325737,0.2571027916317297,0.0001796661112221878,3.781609129075194e-05,0.53907830962284,0.4116500752161363,0.37540143128887865
IC180,0.47112051955350476,0.20636708508125973,4.851658929529165e-05,1.0211763127870777e-05,0.6374094623840182,0.4867375452695102,0.369526166175606
ST289,0.5863243977387348,0.2568303689850771,0.0001128784532307757,2.3758636857537414e-05,0.5190269629903395,0.3963384995097634,0.368488079727435
ST268,0.5468920548605264,0.239557638717644,0.00010844951967301474,2.28264357061815e-05,0.5233974474741057,0.3996758815456536,0.3567993172847683
ST253,0.7221806792749291,0.3163401199871651,0.0001151824058785625,2.4243572403064575e-05,0.3431884284427082,0.26206497249089633,0.355161430041172
Year,0.0011170813309085903,0.000489320266238412,0.08416860168163685,0.017715792384861515,0.9563144389071789,0.7302592289083973,0.3472000406399081
ST331,0.43014597717857145,0.18841881808480762,8.242118533161619e-05,1.7347996500786224e-05,0.5754407097711811,0.4394170702684441,0.33522303604502807
math_q7_total_timing,0.3161983814604502,0.13850582936028247,0.0020716585270135067,0.0004360423201007795,0.6631526371354322,0.5063955052236695,0.3271408923742986
ST336,0.41660536215571464,0.18248756029301635,7.020135540785073e-05,1.4775968861232633e-05,0.5409568206007356,0.413084540620404,0.3192107947039527
math_q1_total_timing,0.2486059007366333,0.10889798457015298,0.001785350296482396,0.0003757802144125864,0.7036894343436517,0.537350146361911,0.3180268951255891
ST342,0.4227337886642334,0.18517202310498712,8.132075936855599e-05,1.7116379038846866e-05,0.5056185157167999,0.3860995634773605,0.30947787504680063
ST355,0.3523267690829683,0.15433131293168564,4.384806846844499e-05,9.229133690522507e-06,0.5722109313120858,0.4369507522551146,0.30819384948784084
ST003D03T,0.004287154155476564,0.0018779218260291262,0.001390296558161718,0.0002926293734918271,0.8901905929693827,0.6797658485071008,0.29862268122767366
ST348,0.3409979325447243,0.14936889062841774,6.21863782018919e-05,1.308897787750167e-05,0.5489624651815432,0.4191977975165102,0.2966741947014898
ST340,0.38308614900095256,0.16780498539791017,6.942704078086208e-05,1.4612991255590824e-05,0.5067115260463609,0.38693420619316665,0.29662236736269815
math_q8_total_timing,0.22073907410876945,0.09669135050737156,0.0016642038457132565,0.0003502813308965358,0.6333416162637752,0.48363126343350515,0.2852482980727526
IC177,0.2118849407641627,0.09281293381055908,4.715561854812414e-05,9.925306245886607e-06,0.6148524605337147,0.4695126053255816,0.27559485230547515
math_q4_total_timing,0.11953408752924936,0.05236006539184044,0.0018457143831859181,0.00038848563669804053,0.6919665881973345,0.5283983662369511,0.27111546336992326
ST351,0.23133399844469235,0.10133229387772841,3.0299345866544513e-05,6.377400955277171e-06,0.576609324998183,0.4403094462693087,0.26932454092958064
ST254,0.18098885604325282,0.07927937991161092,0.0002813841018134597,5.9225675947228626e-05,0.6191775245267468,0.47281530344246914,0.266815921557271
math_q6_total_timing,0.11878949802717949,0.052033909432278556,0.0017801277208880034,0.00037468096762582784,0.6796957457441534,0.51902812609067,0.2667551238307403
math_q3_total_timing,0.09191584918727017,0.040262321597714645,0.0013335765969211223,0.0002806909660888322,0.7059891307535515,0.5391062366797943,0.2664128521792476
ST275,0.27416223041832416,0.1200925410432706,5.239636034068178e-05,1.102837665081973e-05,0.5241859015734529,0.40027795954342693,0.2661335094507059
