Colonne,Type,Valeurs_Non_Nulles,Valeurs_Nulles,Pct_Manquant,Pct_Remplissage,Valeurs_Uniques,Exemple_Valeur
science_q19_total_timing,float64,1,1172085,100.0,0.0,1,
math_q21_average_score,float64,0,1172086,100.0,0.0,0,
reading_q13_total_timing,float64,41,1172045,100.0,0.0,41,
science_q19_average_score,float64,1,1172085,100.0,0.0,1,
science_q18_average_score,float64,1,1172085,100.0,0.0,1,
science_q17_average_score,float64,1,1172085,100.0,0.0,1,
science_q15_average_score,float64,1,1172085,100.0,0.0,1,
science_q14_average_score,float64,1,1172085,100.0,0.0,1,
science_q13_average_score,float64,1,1172085,100.0,0.0,1,
math_q20_average_score,float64,0,1172086,100.0,0.0,0,
reading_q15_total_timing,float64,3,1172083,100.0,0.0,3,
math_q19_average_score,float64,0,1172086,100.0,0.0,0,
math_q18_average_score,float64,0,1172086,100.0,0.0,0,
math_q17_average_score,float64,1,1172085,100.0,0.0,1,
reading_q15_average_score,float64,2,1172084,100.0,0.0,2,
reading_q14_average_score,float64,9,1172077,100.0,0.0,6,
reading_q13_average_score,float64,34,1172052,100.0,0.0,18,
reading_q12_average_score,float64,52,1172034,100.0,0.0,17,
reading_q14_total_timing,float64,12,1172074,100.0,0.0,12,
science_q16_average_score,float64,1,1172085,100.0,0.0,1,
math_q19_total_timing,float64,1,1172085,100.0,0.0,1,
science_q13_total_timing,float64,1,1172085,100.0,0.0,1,
math_q20_total_timing,float64,1,1172085,100.0,0.0,1,
science_q17_total_timing,float64,1,1172085,100.0,0.0,1,
science_q16_total_timing,float64,1,1172085,100.0,0.0,1,
math_q18_total_timing,float64,1,1172085,100.0,0.0,1,
math_q17_total_timing,float64,1,1172085,100.0,0.0,1,
math_q21_total_timing,float64,0,1172086,100.0,0.0,0,
science_q15_total_timing,float64,1,1172085,100.0,0.0,1,
science_q14_total_timing,float64,1,1172085,100.0,0.0,1,
science_q18_total_timing,float64,1,1172085,100.0,0.0,1,
reading_q11_total_timing,float64,139,1171947,99.99,0.01,139,
reading_q12_total_timing,float64,73,1172013,99.99,0.01,73,
reading_q11_average_score,float64,90,1171996,99.99,0.01,20,
reading_q10_average_score,float64,764,1171322,99.93,0.07,26,
reading_q10_total_timing,float64,941,1171145,99.92,0.08,928,
math_q16_average_score,float64,21986,1150100,98.12,1.88,3,
math_q16_total_timing,float64,22956,1149130,98.04,1.96,22112,
math_q15_average_score,float64,32972,1139114,97.19,2.81,4,
math_q15_total_timing,float64,34893,1137193,97.02,2.98,31139,
science_q12_total_timing,float64,45145,1126941,96.15,3.85,43456,
science_q12_average_score,float64,50851,1121235,95.66,4.34,9,
math_q14_average_score,float64,86737,1085349,92.6,7.4,37,
math_q14_total_timing,float64,88171,1083915,92.48,7.52,77542,
reading_q9_average_score,float64,94392,1077694,91.95,8.05,89,
reading_q9_total_timing,float64,100543,1071543,91.42,8.58,96254,
math_q13_average_score,float64,179474,992612,84.69,15.31,64,
math_q13_total_timing,float64,182488,989598,84.43,15.57,142501,
LANGTEST_PAQ,float64,190244,981842,83.77,16.23,24,
science_q11_total_timing,float64,222106,949980,81.05,18.95,194841,
science_q11_average_score,float64,223285,948801,80.95,19.05,9,
math_q12_average_score,float64,303643,868443,74.09,25.91,63,
math_q12_total_timing,float64,303811,868275,74.08,25.92,219191,
reading_q8_average_score,float64,323908,848178,72.36,27.64,211,
science_q10_total_timing,float64,330734,841352,71.78,28.22,271559,
reading_q8_total_timing,float64,336675,835411,71.28,28.72,299388,
MATHEASE,float64,340810,831276,70.92,29.08,2,0.0
science_q10_average_score,float64,343836,828250,70.66,29.34,9,
ST095,float64,348119,823967,70.3,29.7,41,
PA002,float64,348119,823967,70.3,29.7,59,
PA033,float64,348119,823967,70.3,29.7,22,
ST146,float64,348119,823967,70.3,29.7,48,
ST098,float64,348119,823967,70.3,29.7,48,
ST100,float64,348119,823967,70.3,29.7,22,
ST097,float64,348119,823967,70.3,29.7,22,
ST113,float64,348119,823967,70.3,29.7,14,
ST008.1,float64,348119,823967,70.3,29.7,5,
PA032,float64,348119,823967,70.3,29.7,6,
IC001,float64,348119,823967,70.3,29.7,23,
ST006.1,float64,348119,823967,70.3,29.7,5,
PA008.1,float64,348119,823967,70.3,29.7,21,
ST011,float64,348119,823967,70.3,29.7,14,
MISSSC,float64,350864,821222,70.06,29.94,2,0.0
WB177,float64,411320,760766,64.91,35.09,14,
ST164,float64,411320,760766,64.91,35.09,58,
ST008,float64,411320,760766,64.91,35.09,5,
ST152,float64,411320,760766,64.91,35.09,14,
EC031,float64,411320,760766,64.91,35.09,3,
ST223,float64,411320,760766,64.91,35.09,14,
ST183,float64,411320,760766,64.91,35.09,10,
EC012,float64,411320,760766,64.91,35.09,9,
ST263,float64,411320,760766,64.91,35.09,4,
ST177,float64,411320,760766,64.91,35.09,10,
PA041,float64,411320,760766,64.91,35.09,6,
PA162,float64,411320,760766,64.91,35.09,4,
ST297,float64,411320,760766,64.91,35.09,10,
ST006,float64,411320,760766,64.91,35.09,5,
PA008,float64,411320,760766,64.91,35.09,21,
ST163,float64,411320,760766,64.91,35.09,10,
ST125,float64,411320,760766,64.91,35.09,8,
PA003,float64,411320,760766,64.91,35.09,29,
ST104,float64,411320,760766,64.91,35.09,10,
EC162,float64,411320,760766,64.91,35.09,9,
ST127,float64,411320,760766,64.91,35.09,7,
