Unnamed: 0,Year,CNT,CNTRYID,CNTSCHID,CNTSTUID,CYC,NatCen,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST_QQQ,LANGTEST_COG,LANGTEST_PAQ,Option_CT,Option_FL,Option_ICTQ,Option_WBQ,Option_PQ,Option_TQ,Option_UH,ST001D01T,ST003D02T,ST003D03T,ST004D01T,EFFORT1,EFFORT2,OCOD1,OCOD2,OCOD3,AGE,GRADE,ISCEDP,IMMIG,COBN_S,MISSSC,MATHEASE,WB153,ST253,ST311,WB165,IC171,ST038,IC180,ST255,ST350,ST034,FL162,PA195,ST330,FL169,ST230,ST331,ST354,PA042,ST305,ST258,PA167,IC176,ST352,IC173,PA188,ST283,ST256,WB154,WB166,FL150,ST266,IC174,ST005,ST021,IC182,FL164,FL160,ST267,ST338,ST351,ST342,ST355,FL166,PA183,ST007,FL170,WB168,WB163,IC184,ST348,ST226,ST336,WB160,FL167,PA166,ST250,ST268,IC177,PA196,IC183,ST275,IC172,IC175,ST340,ST296,ST270,ST289,ST353,ST349,ST301,PA186,WB164,PA197,ST290,ST062,ST254,ST345,ST322,IC170,PA006,ST347,ST343,ST307,ST160,ST168,ST161,ST153,ST188,PA009,PA182,PA004,ST059,ST150,PA158,WB155,WB162,ST127,EC162,ST104,PA003,ST125,ST163,ST297,ST006,ST263,PA162,ST164,ST008,ST152,EC031,WB177,ST183,EC012,ST223,ST177,ST102,PA041,EC163,PA008,PA177,ST175,ST273,EC153,ST212,PA154,PA156,PA007,PA159,ST300,ST036,PA018,ST208,ST165,PA175,ST167,ST211,WB176,ST158,WB178,IC014,ST213,ST327,ST251,ST260,PA160,ST095,PA033,ST146,ST098,ST100,ST097,ST113,PA002,PA032,IC001,ST008.1,ST006.1,PA008.1,ST011,reading_q1_average_score,reading_q2_average_score,reading_q3_average_score,reading_q4_average_score,reading_q5_average_score,reading_q6_average_score,reading_q7_average_score,reading_q8_average_score,reading_q9_average_score,reading_q10_average_score,reading_q11_average_score,reading_q12_average_score,reading_q13_average_score,reading_q14_average_score,reading_q15_average_score,math_q1_average_score,math_q2_average_score,math_q3_average_score,math_q4_average_score,math_q5_average_score,math_q6_average_score,math_q7_average_score,math_q8_average_score,math_q9_average_score,math_q10_average_score,math_q11_average_score,math_q12_average_score,math_q13_average_score,math_q14_average_score,math_q15_average_score,math_q16_average_score,math_q17_average_score,math_q18_average_score,math_q19_average_score,math_q20_average_score,math_q21_average_score,science_q1_average_score,science_q2_average_score,science_q3_average_score,science_q4_average_score,science_q5_average_score,science_q6_average_score,science_q7_average_score,science_q8_average_score,science_q9_average_score,science_q10_average_score,science_q11_average_score,science_q12_average_score,science_q13_average_score,science_q14_average_score,science_q15_average_score,science_q16_average_score,science_q17_average_score,science_q18_average_score,science_q19_average_score,reading_q1_total_timing,reading_q2_total_timing,reading_q3_total_timing,reading_q4_total_timing,reading_q5_total_timing,reading_q6_total_timing,reading_q7_total_timing,reading_q8_total_timing,reading_q9_total_timing,reading_q10_total_timing,reading_q11_total_timing,reading_q12_total_timing,reading_q13_total_timing,reading_q14_total_timing,reading_q15_total_timing,math_q1_total_timing,math_q2_total_timing,math_q3_total_timing,math_q4_total_timing,math_q5_total_timing,math_q6_total_timing,math_q7_total_timing,math_q8_total_timing,math_q9_total_timing,math_q10_total_timing,math_q11_total_timing,math_q12_total_timing,math_q13_total_timing,math_q14_total_timing,math_q15_total_timing,math_q16_total_timing,math_q17_total_timing,math_q18_total_timing,math_q19_total_timing,math_q20_total_timing,math_q21_total_timing,science_q1_total_timing,science_q2_total_timing,science_q3_total_timing,science_q4_total_timing,science_q5_total_timing,science_q6_total_timing,science_q7_total_timing,science_q8_total_timing,science_q9_total_timing,science_q10_total_timing,science_q11_total_timing,science_q12_total_timing,science_q13_total_timing,science_q14_total_timing,science_q15_total_timing,science_q16_total_timing,science_q17_total_timing,science_q18_total_timing,science_q19_total_timing
384002,2022,NLD,528.0,52800132.0,52801144.0,08MS,52800,NLD06,5280000,1.0,2.0,322.0,322.0,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,2.0,2007.0,1.0,8.0,8.0,3256.0,2212.0,9999.0,15.75,0.0,244.0,2.0,52800.0,0.0,0.0,2.5,1.0,3.25,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.333333333333333,3.6666666666666665,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,1.75,5.25,2.0,1.0,2.0,1.0,0.0,0.75,0.0,0.0,14.0,2.333333333333333,3.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.25,1.0,6.5,0.0,0.0,1.0,0.0,0.5,2.666666666666667,0.0,4.0,3.0,0.0,0.0,0.0,1.6666666666666663,0.0,0.0,0.0,1.0,1.6666666666666663,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.333333333333333,0.3333333333333333,3.333333333333333,2.0,1.6,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.25,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,0.0,0.5,0.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,18736.0,23055.25,162720.0,110641.33333333331,96368.33333333331,71813.5,98875.0,63689.4,37232.0,88274.66666666667,,,,,,,,,,,,84299.33333333333,90156.0,66612.0,73547.6,68912.0,56623.25,104190.5,132623.25,105785.66666666669,,,,,,,,,,
1118072,2018,QAZ,31.0,3100106.0,3100424.0,07MS,3100,QAZ0101,310000,0.0,2.0,803.0,803.0,,,,,,,,,10.0,11.0,2002.0,2.0,7.0,6.0,2330.0,9313.0,0.0,15.42,0.0,,,3100.0,,,,,,0.0,0.0,0.0,,0.2,,2.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,,,,,,,,,,0.0,0.5,,,0.0,,,,,,,0.0,6.0,,,,,,,,,0.0,1.6666666666666663,,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,1.6666666666666663,2.333333333333333,0.0,3.333333333333333,5.0,3.0,0.0,0.0,0.0,0.475,1.6666666666666663,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.7142857142857143,1.6666666666666663,0.0,1.0,0.6666666666666666,0.0,1.4,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,2.333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.25,1.6666666666666663,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.5,0.0,0.0,0.75,1.3333333333333333,0.0,4.0,0.0,0.0,2.333333333333333,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,0.25,0.0,0.0,0.3333333432674408,0.4666666686534881,0.8999999761581421,0.0,0.8999999761581421,,,,,,,,0.0,0.5,0.3333333432674408,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70444.75,10035.75,4873.7998046875,67025.6015625,78748.4296875,8368.2841796875,112711.0,69975.7109375,,,,,,,,50234.0,80788.0,48059.0,116718.0,61003.0,34117.0,56901.66796875,76615.0,21500.333984375,27087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845454,2018,FRA,250.0,25000010.0,25005207.0,07MS,25000,FRA0101,2500000,1.0,2.0,493.0,493.0,,,,,,,,,10.0,5.0,2002.0,1.0,,,3323.0,3322.0,7512.0,16.0,0.0,,,25000.0,,,,,,0.0,3.5,0.0,,0.6,,2.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,,,,,,,,,,0.0,1.0,,,0.0,,,,,,,0.0,13.0,,,,,,,,,1.1666666666666663,1.3333333333333333,,0.0,3.25,,,0.0,,,0.0,8.0,,,1.5,,,,2.333333333333333,2.0,0.0,2.333333333333333,3.0,3.0,0.0,0.0,0.0,0.375,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,2.0,0.6666666666666666,0.0,3.4000000000000004,2.0,1.0,0.0,0.0,1.6666666666666663,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,2.333333333333333,0.0,1.75,2.4,0.0,0.25,0.6666666666666666,0.0,7.0,0.0,3.666666666666666,1.0,3.0,6.0,0.0,0.0,,,,,,,,,,,,,,,0.75,1.0,0.0,0.5,0.9523809552192688,0.3333333432674408,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.6666666865348816,1.0,1.0,1.0,0.5,,,,,,,,,,,110500.6015625,64958.0,35507.6015625,63326.14453125,4517.9521484375,39792.33203125,92942.984375,82727.6640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81443.6640625,190243.40625,36257.0,148073.5,2121.249755859375,90540.3359375,57954.0,84633.0,45332.0,87686.5,13164.75,1187.199951171875,,,,,,,
1728613,2015,QES,971.0,97100240.0,97127584.0,06MS,72400,ESP1633,7241600,2.0,2.0,156.0,156.0,,,1.0,1.0,,1.0,1.0,0.0,10.0,3.0,1999.0,2.0,,,,,,16.17,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,0.0,0.0,1.0,0.6666666666666666,1.0,1.3333333333333333,0.0,0.0,7.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,79739.75,68604.6640625,53565.5,61712.33203125,63600.5,114817.3359375,81293.3359375,59014.33203125,140646.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,62224.66796875,83289.6640625,91510.75,100649.5,82378.5,74348.25,91230.6640625,49789.0,37855.0,,,,,,,,,,
1083243,2018,PHL,608.0,60800071.0,60802698.0,07MS,60800,PHL0011,6080000,0.0,2.0,313.0,313.0,,,,,,,,,8.0,9.0,2002.0,1.0,10.0,10.0,9701.0,7132.0,2161.0,15.5,-1.0,,,60800.0,,,,,,0.0,0.0,6.0,,0.2,,1.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,1.0,0.0,,,,,,,,,,0.0,1.0,,,0.0,,,,,,,0.0,8.0,,,,,,,,,0.0,4.0,,0.0,0.0,,,0.0,,,0.3333333333333333,0.0,,,0.0,,,,4.0,3.0,1.0,3.333333333333334,9.0,3.6666666666666665,0.0,0.0,0.0,0.3,3.6666666666666665,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.4285714285714285,2.0,0.0,1.0,0.6666666666666666,0.0,5.8,1.0,3.6666666666666665,0.0,0.0,2.0,0.0,1.3333333333333333,2.333333333333333,3.6666666666666665,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.75,5.0,0.0,4.5,2.6666666666666665,0.0,5.0,0.0,0.0,2.6666666666666665,1.0,1.6666666666666663,0.0,0.0,,,,,,,,,,,,,,,0.0,0.25,1.0,0.75,0.0,0.7272727489471436,0.5,0.5,1.0,,,,,,,0.0,0.0,0.75,0.0,0.0,1.0,0.5,0.0,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65393.0,57448.0,75731.5,126398.6015625,54334.80078125,4223.18115234375,106763.3359375,41324.5,88674.0,,,,,,,137692.0,36046.0,43095.75,82282.5,121010.5,191303.0,77024.3359375,197619.671875,64659.66796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126877,2018,QCI,975.0,97500168.0,97501408.0,07MS,15600,QCI9797,9750000,0.0,2.0,316.0,316.0,,,,,,,,,9.0,12.0,2002.0,2.0,10.0,10.0,9111.0,8300.0,9704.0,15.33,-1.0,,,15604.0,,,,,,0.0,0.0,1.6666666666666663,,0.2,,3.6666666666666665,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.25,0.0,,,,,,,,,,0.0,0.5,,,0.0,,,,,,,0.0,4.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,4.0,2.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,0.4499999999999999,2.333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2857142857142857,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.0,1.25,1.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.75,0.5454545617103577,0.8181818127632141,0.0,0.5,0.699999988079071,,,,,,,,,0.0,0.5,0.25,0.5,0.5,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71159.3359375,61818.80078125,23047.333984375,2893.226806640625,72319.6640625,31725.25,40890.0,,,,,,,,,130408.3359375,100248.0,59788.5,55851.0,92954.5,102363.0,70442.6640625,64315.5,194010.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725954,2015,QES,971.0,97100161.0,97136457.0,06MS,72400,ESP1325,7241300,2.0,2.0,156.0,156.0,,,1.0,1.0,,1.0,1.0,0.0,10.0,4.0,1999.0,1.0,,,,,,16.17,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333333333333,0.0,0.0,2.333333333333333,3.333333333333333,1.6666666666666663,4.0,0.0,0.0,7.0,0.0,2.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5,0.0,0.3333333432674408,0.0,0.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152677.5,7825.0,57088.5,55070.75,117419.796875,70767.0,105013.5,104475.5,,,,,,,,,,,
142970,2022,CZE,203.0,20300124.0,20307488.0,08MS,20300,CZE30,2030000,1.0,2.0,244.0,244.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,6.0,2006.0,2.0,,,5223.0,9704.0,5412.0,15.83,0.0,354.0,1.0,20300.0,0.0,0.0,0.0,0.8571428571428571,4.25,0.0,4.0,0.0,4.666666666666666,0.1666666666666666,0.0,2.333333333333333,5.0,0.0,2.5,5.666666666666667,1.0,2.0,3.0,0.0,1.75,0.0,0.0,5.25,4.333333333333333,2.8000000000000003,0.0,0.75,1.0,0.0,0.0,1.0,1.0,6.25,0.75,0.0,1.3333333333333333,7.5,2.6666666666666665,2.333333333333333,5.2,3.0,4.333333333333333,0.0,3.0,0.0,0.75,5.0,0.0,0.0,2.6,3.0,0.25,2.6666666666666665,0.0,3.6666666666666665,0.0,3.0,6.0,6.0,0.0,8.416666666666668,2.6666666666666665,5.0,3.0,2.6666666666666665,1.4,3.333333333333333,2.5,0.0,0.75,3.5,0.0,0.0,0.0,2.6666666666666665,0.3333333333333333,2.0,2.25,2.6,3.0,0.0,1.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,1.0,0.6,0.8636363636363636,0.5,0.5,1.0,,,,,,,,1.0,0.3333333333333333,0.3095238095238095,1.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91834.25,59377.4,53343.5,88302.14285714286,5647.0,74068.66666666667,58330.833333333336,53172.0,,,,,,,,31928.0,100111.0,75323.5,68099.66666666667,522459.0,308082.3333333333,41174.66666666666,69563.0,250550.66666666663,3083.5,78319.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639308,2015,CHE,756.0,75600172.0,75606174.0,06MS,75600,CHE0101,7560000,1.0,2.0,148.0,148.0,,,0.0,1.0,,0.0,0.0,0.0,9.0,4.0,1999.0,2.0,,,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.333333333333333,0.0,0.0,4.0,3.0,0.0,0.6666666666666666,0.0,0.0,9.0,1.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,0.5,0.75,0.5,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,0.6666666865348816,1.0,0.6666666865348816,0.5,0.3333333432674408,0.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,78624.3359375,56474.25,86397.0,58412.0,80622.5,102371.0,74140.0,145038.328125,66391.6640625,,,,,,,,,,,,,115250.796875,66017.0,91103.0,75759.0,64649.0,53123.5,92662.0,92093.6015625,,,,,,,,,,,
666434,2018,AUS,36.0,3600544.0,3613290.0,07MS,3600,AUS0308,360000,1.0,2.0,313.0,313.0,,,,,,,,,10.0,1.0,2003.0,2.0,,,4211.0,5222.0,7111.0,15.58,0.0,,,82611.0,,,,,,0.0,6.0,0.6666666666666666,,0.4,,2.6666666666666665,,,,,,,,0.0,,,,,,1.6666666666666663,,,,0.0,,,,2.0,1.0,0.875,,,,,,,,,,0.0,1.0,,,0.0,,,,,,,0.0,9.0,,,,,,,,,0.0,2.333333333333333,,2.0,0.0,,,0.0,,,1.3333333333333333,10.0,,,5.5,,,,2.0,2.6666666666666665,0.0,1.0,3.0,2.333333333333333,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.2857142857142857,2.333333333333333,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,2.0,1.0,0.0,2.333333333333333,0.0,2.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,5.0,4.666666666666667,1.0,0.0,0.0,0.0,0.0,2.0,1.6666666666666663,0.0,1.5,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.6666666666666663,2.333333333333333,1.0,6.666666666666666,0.5,0.0,,,,,,,,,,,,,,,0.5,1.0,0.0,0.6666666865348816,1.0,1.0,0.2000000029802322,1.0,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,,,,,,,,,49527.25,70885.5,151988.328125,6204.7998046875,29435.666015625,49337.3984375,43294.5703125,3981.9091796875,46944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,139969.75,46046.66796875,131449.796875,29126.0,57893.80078125,18453.5,28611.333984375,37987.0,59865.5,55436.25,38181.66796875,,,,,,,,
